Date  ,Time,Temperature (ºC),Luminosity (lux)
2023-06-11,12:18,26.94,1019.52
2023-06-11,12:39,27.62,961.92
2023-06-11,13:01,27.56,898.56
2023-06-11,13:26,28.12,829.44
2023-06-11,13:46,28.38,743.04
2023-06-11,14:06,28.12,852.48
2023-06-11,14:26,28.19,915.84
2023-06-11,14:46,28.5,475.2
2023-06-11,15:06,28.56,869.76
2023-06-11,15:26,28.62,864.0
2023-06-11,15:46,28.69,829.44
2023-06-11,16:06,28.69,512.64
2023-06-11,16:45,29.63,1152.0
2023-06-11,17:05,29.75,1048.32
2023-06-11,17:26,29.63,1025.28
2023-06-11,17:26,29.63,1025.28
2023-06-11,17:47,29.25,915.84
2023-06-11,18:07,29.12,823.68
2023-06-11,18:27,29.12,720.0
2023-06-11,18:47,29.06,610.56
2023-06-11,19:07,29.0,576.0
2023-06-11,19:27,28.87,380.16
2023-06-11,19:47,28.75,315.36
2023-06-11,19:47,28.75,315.36
2023-06-11,20:07,28.56,246.24
2023-06-11,20:27,28.25,180.0
2023-06-11,20:47,28.06,115.2
2023-06-11,21:07,27.94,59.4
2023-06-11,21:27,27.69,19.8
2023-06-11,21:47,27.56,4.36
2023-06-11,22:07,27.13,2.25
2023-06-11,22:27,27.13,2.12
2023-06-11,22:47,27.0,2.12
2023-06-11,23:07,26.44,2.12
2023-06-11,23:27,26.44,2.07
2023-06-11,23:47,26.5,2.07
2023-06-12,00:07,26.37,2.12
2023-06-12,00:27,26.19,2.12
2023-06-12,00:47,25.94,2.03
2023-06-12,01:07,25.81,1.98
2023-06-12,01:27,25.56,1.66
2023-06-12,01:47,25.5,1.66
2023-06-12,02:07,25.31,1.66
2023-06-12,02:27,25.19,1.66
2023-06-12,02:47,25.06,0.14
2023-06-12,03:07,25.0,0.14
2023-06-12,03:27,24.87,0.14
2023-06-12,03:47,24.69,0.14
2023-06-12,04:07,24.56,0.14
2023-06-12,04:27,24.25,0.68
2023-06-12,04:47,24.25,6.75
2023-06-12,05:07,24.06,35.1
2023-06-12,05:27,24.0,94.32
2023-06-12,05:47,23.81,174.24
2023-06-12,06:07,23.81,267.84
2023-06-12,06:27,23.81,348.48
2023-06-12,06:47,23.81,408.96
2023-06-12,07:07,24.06,457.92
2023-06-12,07:27,24.19,509.76
2023-06-12,07:27,24.19,509.76
2023-06-12,07:47,24.31,581.76
2023-06-12,08:07,24.5,624.96
2023-06-12,08:27,24.69,720.0
2023-06-12,08:47,24.87,800.64
2023-06-12,09:07,25.44,1555.2
2023-06-12,09:27,27.0,1209.6
2023-06-12,09:47,28.19,5045.76
2023-06-12,10:07,27.62,5230.08
2023-06-12,10:27,28.75,1820.16
2023-06-12,10:47,27.25,1290.24
2023-06-12,11:07,27.06,1192.32
2023-06-12,11:28,27.0,1186.56
